"PAGE #","PAGE #"
"PAGE %1 of %2","PAGE %1 of %2"
"None - module is disabled","None - module is disabled"
"Automatic - on page scroll","Automatic - on page scroll"
"Button - on button click","Button - on button click"
"Infinite Scroll","Infinite Scroll"
"General settings","General settings"
"Loading Type","Loading Type"
"Display Page Numbers","Display Page Numbers"
"Choose Yes to display number of the current page above loaded products in the product listing","Choose Yes to display number of the current page above loaded products in the product listing"
"AJAX Progress Image Path","AJAX Progress Image Path"
"Specify path to loading image within your theme, i.e. images/amscroll-scroll.gif","Specify path to loading image within your theme, i.e. images/amscroll-scroll.gif"
"Load Prev-Next Button (optional)","Load Prev-Next Button (optional)"
"Label for the Prev Button","Label for the Prev Button"
"Specify here the text to be displayed on the action button","Specify here the text to be displayed on the action button"
"Label for the Next Button","Label for the Next Button"
"Styles for the Button","Styles for the Button"
"Specify here CSS rules for load next button, like color:black","Specify here CSS rules for load next button, like color:black"
"Info Bar (optional)","Info Bar (optional)"
Enabled,Enabled
"Choose Yes to display info bar with current page number and total pages count","Choose Yes to display info bar with current page number and total pages count"
"Advanced Styles","Advanced Styles"
"Specify here CSS rules for Info Bar, like background-color: red; left: 30px; top: 20px;","Specify here CSS rules for Info Bar, like background-color: red; left: 30px; top: 20px;"
"DOM Selectors (for custom themes)","DOM Selectors (for custom themes)"
"Products Group","Products Group"
"Please do not use comma.","Please do not use comma."
