"Add Template","Add Template"
Save,Save
"Save & Continue Edit","Save & Continue Edit"
"General Information","General Information"
Name,Name
Theme,Theme
Subject,Subject
ID,ID
Title,Title
Actions,Actions
Edit,Edit
Remove,Remove
"Add Theme","Add Theme"
Type,Type
Template,Template
Export,Export
"Email Designer","Email Designer"
"Manage Templates","Manage Templates"
"Template was successfully deleted","Template was successfully deleted"
"This item not exists.","This item not exists."
"New Template","New Template"
"This template no longer exists.","This template no longer exists."
"You saved the template.","You saved the template."
"Manage Themes","Manage Themes"
"Theme was successfully deleted","Theme was successfully deleted"
"New Theme","New Theme"
"This theme no longer exists.","This theme no longer exists."
"You saved the theme.","You saved the theme."
Desktop,Desktop
Mobile,Mobile
"Auto Refresh","Auto Refresh"
Refresh,Refresh
Loading...,Loading...
"Please wait...","Please wait..."
